period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
5.77440326,1.768,245.3,0.8,10489206.0,K00251.02,CONFIRMED,0.0511,Kepler,,,,,,,
2.622134451,4.735,128.2,1.64,7531677.0,K02601.01,FALSE POSITIVE,0.0382,Kepler,,,,,,,
11.47685263,2.756,240.6,1.58,10068659.0,K02602.01,CONFIRMED,0.0976,Kepler,,,,,,,
73.711039,10.062,136.7,1.77,2443393.0,K02603.01,CANDIDATE,0.3741,Kepler,,,,,,,
14.43348326,2.663,526.8,16.25,9019191.0,K02604.01,CANDIDATE,0.106,Kepler,,,,,,,
40.0088894,3.616,582.3,20.75,9718379.0,K02379.01,FALSE POSITIVE,0.2264,Kepler,,,,,,,
6.35705314,1.324,272.2,1.59,3002478.0,K02380.01,CANDIDATE,0.0682,Kepler,,,,,,,
6.58738839,4.758,258.5,1.35,4055774.0,K02381.01,FALSE POSITIVE,0.0665,Kepler,,,,,,,
0.759706632,1.0896,39.7,1.38,6670075.0,K02382.01,FALSE POSITIVE,0.0206,Kepler,,,,,,,
4.37033233,2.845,177.8,1.56,9395024.0,K02383.01,CONFIRMED,0.0519,Kepler,,,,,,,
1.530515205,0.5945,659.7,0.84,8631751.0,K02453.01,CANDIDATE,0.0163,Kepler,,,,,,,
1.08070294,3.363,145.6,1.04,11401822.0,K02454.01,FALSE POSITIVE,0.0194,Kepler,,,,,,,
4.74254518,1.023,305.7,1.77,6507427.0,K02455.01,FALSE POSITIVE,0.0573,Kepler,,,,,,,
18.13559979,2.019,452.7,24.49,5521300.0,K02456.01,FALSE POSITIVE,0.1396,Kepler,,,,,,,
51.20690303,8.99,,,8478994.0,K00245.04,CONFIRMED,,Kepler,,,,,,,
3.70429015,3.37,55.7,1.45,9753154.0,K02457.01,CONFIRMED,0.0502,Kepler,,,,,,,
37.3331165,7.643,187.8,2.5,9011825.0,K02530.01,CONFIRMED,0.226,Kepler,,,,,,,
17.6997392,2.76,752.7,1.96,4172746.0,K02531.01,CANDIDATE,0.1218,Kepler,,,,,,,
7.9709719,1.2893,488.4,2.27,5174858.0,K02532.01,CONFIRMED,0.0762,Kepler,,,,,,,
6.03355539,10.049,89.5,3.34,11074835.0,K02533.01,CONFIRMED,0.0663,Kepler,,,,,,,
3.02558494,3.0008,128.3,1.62,1996180.0,K02534.01,CONFIRMED,0.0418,Kepler,,,,,,,
0.933746783,4.255,417.5,1.3,10407221.0,K02605.01,FALSE POSITIVE,0.0162,Kepler,,,,,,,
6.09740316,4.635,568.5,45.49,5991936.0,K02606.01,FALSE POSITIVE,0.0831,Kepler,,,,,,,
0.754457729,0.5891,248.2,2.07,5095635.0,K02607.01,CANDIDATE,0.0158,Kepler,,,,,,,
2.7612237,3.681,66.8,1.84,6269070.0,K02608.01,CONFIRMED,0.0435,Kepler,,,,,,,
5.59727625,1.659,200.8,1.26,6705137.0,K02609.01,FALSE POSITIVE,0.0603,Kepler,,,,,,,
62.6825769,2.327,398.9,39.8,12254688.0,K02384.01,CANDIDATE,0.3583,Kepler,,,,,,,
50.5715805,3.726,1282.6,2.74,8345172.0,K02385.01,FALSE POSITIVE,0.2556,Kepler,,,,,,,
16.2707207,5.707,468.0,28.42,4172013.0,K02386.01,CANDIDATE,0.1323,Kepler,,,,,,,
2.032319072,1.6762,315.5,1.87,12254378.0,K02387.01,CONFIRMED,0.0326,Kepler,,,,,,,
4.100870416,8.15361,123520.0,82.46,4247791.0,K00028.01,FALSE POSITIVE,0.0517,Kepler,,,,,,,
4.35407371,2.427,277.1,1.63,7604328.0,K02458.01,CONFIRMED,0.0484,Kepler,,,,,,,
11.32269749,3.517,311.0,1.51,11236244.0,K02460.01,CONFIRMED,0.0848,Kepler,,,,,,,
13.71218522,2.437,786.7,2.47,9837685.0,K02461.01,CONFIRMED,0.1091,Kepler,,,,,,,
12.14684625,6.197,70.7,1.75,5042210.0,K02462.01,CONFIRMED,0.1096,Kepler,,,,,,,
7.46718958,3.633,75.7,1.04,12454461.0,K02463.01,CONFIRMED,0.0806,Kepler,,,,,,,
5.42204257,2.952,79.1,1.39,1996180.0,K02534.02,CANDIDATE,0.0617,Kepler,,,,,,,
48.8882668,6.468,462.8,2.96,9635606.0,K02535.01,CONFIRMED,0.2395,Kepler,,,,,,,
51.1319346,6.019,382.3,2.43,3728701.0,K02536.01,CONFIRMED,0.2705,Kepler,,,,,,,
133.516435,2.196,510.0,2.01,10861715.0,K02537.01,FALSE POSITIVE,0.5006,Kepler,,,,,,,
39.8312536,2.442,388.8,1.46,1849702.0,K02538.01,CONFIRMED,0.2119,Kepler,,,,,,,
9.549277089,1.5832,1826.9,1.57,9390653.0,K00249.01,CONFIRMED,0.0646,Kepler,,,,,,,
24.1073172,10.465,104.2,2.74,2305866.0,K02610.01,CANDIDATE,0.1872,Kepler,,,,,,,
17.60461401,3.716,2292.1,2.64,11187837.0,K00252.01,CONFIRMED,0.1072,Kepler,,,,,,,
1.228721184,1.041,465.6,1.62,8885673.0,K02611.01,FALSE POSITIVE,0.0203,Kepler,,,,,,,
51.5738653,2.784,900.7,2.41,9712350.0,K02613.01,CANDIDATE,0.2638,Kepler,,,,,,,
4.69505576,3.058,240.0,1.49,8025596.0,K02615.01,CONFIRMED,0.0557,Kepler,,,,,,,
0.569115976,2.028,796.9,1.8,5956787.0,K02616.01,FALSE POSITIVE,0.0116,Kepler,,,,,,,
7.258450123,5.7297,3714.7,5.53,3642741.0,K00242.01,FALSE POSITIVE,0.0736,Kepler,,,,,,,
6.0959841,10.39,112.7,0.99,12071037.0,K02388.01,FALSE POSITIVE,0.0599,Kepler,,,,,,,
22.9221181,8.2,140.3,1.33,8494617.0,K02389.01,CONFIRMED,0.1564,Kepler,,,,,,,
16.10474503,5.712,124.1,3.21,10289119.0,K02390.01,CONFIRMED,0.1418,Kepler,,,,,,,
7.42697378,3.206,205.2,1.4,7382313.0,K02392.01,CONFIRMED,0.0734,Kepler,,,,,,,
0.874629873,1.782,68.1,0.72,9887224.0,K02464.01,FALSE POSITIVE,0.0165,Kepler,,,,,,,
5.46091846,1.781,172.0,1.25,7542369.0,K02465.01,FALSE POSITIVE,0.0591,Kepler,,,,,,,
3.17323012,1.9094,204.5,0.88,8544992.0,K02466.01,CONFIRMED,0.0362,Kepler,,,,,,,
