period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
1.089057762,1.637,37.4,0.44,0.0189,Kepler,0.8001326651451897,4571.772902856902,4.459213635316458
20.5477769,4.634,253.8,1.67,0.1514,Kepler,0.9292817953617991,5685.129589444147,4.4667738054005595
234.635652,6.965,868.5,2.56,0.7097,Kepler,0.9795498171098113,4094.1512295444513,4.803192071685875
7.305706326,1.4228,264.9,2.11,0.0744,Kepler,0.8296542073593746,4848.212837335303,4.636453348257781
5.1777226,8.275,41.7,0.63,0.0592,Kepler,0.8078170081918917,4721.926996553793,4.396713025438608
42.8774169,1.991,1068.8,2.67,0.2197,Kepler,0.8140270393476144,5331.3135709213675,4.558223249776518
1.247121237,9.363,966.7,18.39,0.0195,Kepler,0.8410151007532052,5157.893077652632,4.547758557724062
2.36436762,3.372,28.4,0.82,0.0382,Kepler,0.9532310366799119,5306.757799844324,4.657502449885357
5.670155713,0.9361,536.7,5.85,0.034,Kepler,0.9142153985283963,3604.111934204706,4.2044393346939195
374.59003,15.19,267.9,1.34,0.946,Kepler,1.1984808152654345,3543.7345204855164,4.615836553999338
3.25058201,2.2537,218.4,1.19,0.04,Kepler,2.1440572814361625,6728.317880885997,4.521196616514967
22.634594,4.14,7437.969109934098,17.4,0.14647256578804105,K2,0.92,5065.874213086239,4.505246735307979
2.50387,2.6,210.63229858793252,1.66,0.03656569416327903,K2,1.2,5612.0,4.2
455.77076435,5.1149,341.1,5.34,1.3393,Kepler,1.0592236442128191,4100.092557822657,4.817287140340429
9.03079,1.5545772857105937,829.1879338987176,3.6,0.0839579858574616,K2,1.11133,5576.0,4.33938
1.33254024,3.16,35.8,0.59,0.0232,Kepler,0.739723094724399,4675.095958880682,4.592454339606559
487.83894,32.77,453.3,3.94,1.2051,Kepler,2.6238074637319153,4834.198839935877,4.414609762644288
10.91274065,2.1801,1387.2,2.13,0.0785,Kepler,0.7383528898046491,4557.267712808995,4.4767643062518605
4.99270186,3.1008,557.4,26.6,0.0549,Kepler,0.9091303661044426,4899.591373579995,4.275463931916347
3.269,0.966,608.7228710367004,3.3512221334770462,0.03904058978649877,K2,0.263126,3201.0,4.96918
3.10622,2.712,5102.48191470422,6.330774302747227,0.04298054775433941,K2,0.501135,3636.0,4.73641
2.5194078,1.24,6426.853390191504,7.99,0.03982890945114543,K2,1.72,7119.0,4.893262382469961
3.78795,1.6512,248.3144155497135,7.349373145635448,0.06049739465773455,K2,4.182,5126.0,3.476
3.183961388,3.7875,39268.0,37.22,0.0429,Kepler,1.3146975250574537,5347.376018379404,4.236557483884069
7.46475831483,1.0430706,7352.692128973566,11.93024915,0.07065506072364781,K2,1.15577,5357.0,4.27941
19.57783279,1.9857,432.6,1.96,0.1409,Kepler,1.2855524302903045,5802.342922279136,4.298163758674288
3.219814777,2.0642,488.2,1.69,0.04,Kepler,1.0709369331101828,5167.52027188056,4.372975133876082
1.33258455,5.77,152.7,15.89,0.0239,Kepler,0.7736024950929234,4747.221496317053,4.575234274776639
2.112405306,2.5845,489.0,19.01,0.0303,Kepler,1.2503043940305303,5919.283992249622,4.368313076965778
70.61977122,2.09,1927.8951963975344,4.398315595209908,0.360124902122701,Kepler,0.5372767409766632,4631.703758537755,4.8435127618556875
8.992,3.488,1746.8879293838897,5.299,0.0795,K2,0.86,5271.0,4.49
33.93373447,14.561,8503.7,7.34,0.1881,Kepler,0.9704380963839702,3506.754473358921,4.521566220455268
2.073873563,6.5605,603810.0,274.78,0.0403,Kepler,0.8677276579964182,4820.606555164146,4.5018958820644475
0.968065631,1.772,92.5,0.68,0.0174,Kepler,0.7222216379839981,4695.50050197743,4.654515979719099
1.048130894,5.6707,191.8,4.52,0.0246,Kepler,0.9510813623467824,4285.464993980871,4.423359715636109
208.800733,1.964,594.0,2.88,0.7266,Kepler,0.46664013753715117,4488.60164811164,4.87331538453602
2.851451,9.3048,301138.6676106763,84.70755795990233,0.042478248038082686,K2,2.22321,7137.0,3.9455
91.05641908,6.7282,57608.0,53.1,0.4141,Kepler,0.9454568289565723,4871.840136347414,4.955281527875441
17.501662,4.15,1021.4638256497745,2.63,0.12408088460688561,K2,0.73,4749.0,4.9783592612204215
1.758599866,0.2729,237.8,1.6,0.0262,Kepler,1.0099394952672158,4561.217638318513,4.48275387748172
160.0191598,5.472,1552.8,4.28,0.5642,Kepler,0.8540727352055907,4113.068740883549,4.701773424987301
458.16754,6.97,683.0,2.11,1.1212,Kepler,0.831339954789316,4141.211244274744,4.807867478641727
56.637918,6.172,589.7,3.68,0.2926,Kepler,0.8480699142788368,4692.992475986527,4.605013936463124
24.6842,4.968,629.3620835613592,2.49,0.18088125150566284,K2,1.17,5925.180201856753,4.455790733813437
3.68047,2.112,143.5473201586796,1.11,0.022191424098750957,K2,0.777,4756.421677745285,4.678194845106817
0.783258387,2.2926,328.5,1.28,0.0147,Kepler,0.8543652853607807,4508.612397053554,4.4489226693771835
4.4358,0.936,720.1051956754407,1.3,0.04744426124460886,K2,0.879,5314.997585061729,4.583229420359858
1.81449,2.592,55028.198199631195,27.0,0.024008769143830936,K2,0.92,5614.0,4.49
10.55532,1.68,930.6859252955466,2.64,0.08873782036903587,K2,0.623,4457.1937344010885,4.566502202770619
110.978266,11.312,150.2,1.86,0.4808,Kepler,1.1944871398874428,4071.174713267995,4.709895586441042
2.620724,2.46,15012.424791389232,11.7,0.035273090122153974,K2,1.14,6013.0,4.586081491410402
0.698333,1.32,353.01519156575716,4.5612202985003005,0.015310066629666634,K2,0.664517,4081.0,4.59923
6.42904,3.127,799.159536379584,2.75,0.0654,K2,0.85,5413.0,4.52
3.02164122,1.736,13867.95182819448,15.430081815928869,0.04029592922949467,K2,1.05594,5975.0,4.43218
0.93374894,4.637,226.2,0.18,0.0085,Kepler,1.4631686289148074,4536.837415540948,4.341493463723799
2.649026189,2.4698,52172.0,32.7,0.0345,Kepler,1.6690617592234518,6315.054234748166,4.146865886472499
36.514374043,6.48255,111620.0,33.27,0.22,Kepler,1.0688967461261776,5336.436150245796,4.487197195974045
7.810253,3.736900746552875,414.27702146135755,2.83,0.0785,K2,1.19,5977.0,4.31
24.93,5.3209136627773015,413.2027196551466,2.1,0.1275,K2,0.549,3710.0,4.63
2.745640575,3.04508,45265.0,47.22,0.0385,Kepler,1.1139728995322808,5714.8035798193805,4.379684267391618
2.66588544,5.004,167.0,0.98,0.0341,Kepler,1.5534031602472664,6109.523242037439,4.213479388010483
